iter	Passed	Remaining
0	0	66
1	1	59
2	1	58
3	2	66
4	3	75
5	5	80
6	6	84
7	7	87
8	8	89
9	9	89
10	11	90
11	12	90
12	14	97
13	15	97
14	17	98
15	18	96
16	19	95
17	20	94
18	21	93
19	23	92
20	24	90
21	25	89
22	26	87
23	27	86
24	28	84
25	29	82
26	30	81
27	30	79
28	32	78
29	32	76
30	33	75
31	34	74
32	35	72
33	36	70
34	38	70
35	38	68
36	39	67
37	40	65
38	41	64
39	42	63
40	43	62
41	43	59
42	44	58
43	44	57
44	45	55
45	46	54
46	47	53
47	48	52
48	48	50
49	49	49
50	50	48
51	51	47
52	51	45
53	52	44
54	52	43
55	53	41
56	53	40
57	54	39
58	55	38
59	55	37
60	56	36
61	57	35
62	58	34
63	58	33
64	59	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	62	25
71	63	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	66	18
78	67	17
79	67	16
80	68	16
81	68	15
82	69	14
83	69	13
84	70	12
85	71	11
86	71	10
87	72	9
88	72	9
89	73	8
90	73	7
91	74	6
92	74	5
93	75	4
94	75	3
95	76	3
96	76	2
97	77	1
98	77	0
99	78	0
