iter	Passed	Remaining
0	147	147161
1	148	74036
2	150	50078
3	151	37753
4	152	30381
5	154	25646
6	156	22269
7	158	19632
8	159	17608
9	161	15959
10	162	14579
11	163	13444
12	164	12484
13	165	11662
14	167	11025
15	169	10402
16	170	9839
17	170	9328
18	171	8874
19	172	8455
20	173	8077
21	174	7747
22	175	7453
23	176	7163
24	177	6903
25	177	6655
26	178	6423
27	179	6214
28	179	6017
29	180	5836
30	181	5673
31	182	5511
32	182	5356
33	183	5208
34	183	5070
35	184	4940
36	185	4816
37	185	4697
38	186	4586
39	186	4484
40	187	4390
41	188	4296
42	189	4206
43	189	4119
44	190	4038
45	191	3961
46	191	3890
47	192	3818
48	193	3748
49	194	3688
50	195	3645
51	196	3586
52	197	3527
53	198	3469
54	198	3415
55	199	3365
56	200	3318
57	202	3292
58	203	3246
59	204	3198
60	204	3153
61	205	3109
62	206	3068
63	207	3027
64	207	2988
65	208	2954
66	209	2923
67	210	2889
68	211	2855
69	212	2828
70	213	2793
71	214	2758
72	214	2724
73	215	2691
74	215	2663
75	216	2638
76	217	2609
77	218	2583
78	219	2554
79	219	2526
80	220	2498
81	220	2472
82	221	2443
83	221	2417
84	222	2393
85	222	2369
86	224	2351
87	224	2329
88	225	2306
89	225	2284
90	226	2262
91	227	2240
92	227	2219
93	228	2198
94	228	2177
95	229	2157
96	229	2137
97	230	2118
98	231	2102
99	231	2085
100	232	2067
101	232	2050
102	233	2032
103	233	2015
104	234	1998
105	234	1981
106	235	1964
107	235	1949
108	236	1933
109	237	1918
110	237	1903
111	238	1889
112	239	1877
113	239	1862
114	240	1848
115	240	1834
116	241	1819
117	241	1806
118	242	1792
119	242	1779
120	243	1766
121	243	1752
122	244	1739
123	244	1728
124	245	1715
125	245	1705
126	246	1694
127	247	1683
128	247	1672
129	248	1660
130	248	1649
131	249	1638
132	249	1628
133	250	1617
134	250	1607
135	251	1596
136	251	1586
137	252	1575
138	252	1566
139	253	1557
140	254	1548
141	254	1538
142	255	1528
143	255	1519
144	256	1510
145	256	1501
146	257	1492
147	257	1483
148	258	1474
149	258	1466
150	259	1457
151	259	1449
152	260	1441
153	261	1434
154	261	1428
155	262	1420
156	263	1413
157	263	1405
158	264	1397
159	264	1390
160	265	1381
161	265	1374
162	266	1366
163	266	1359
164	267	1352
165	267	1345
166	268	1338
167	269	1333
168	269	1326
169	270	1319
170	270	1313
171	271	1306
172	272	1300
173	272	1294
174	273	1287
175	273	1281
176	274	1274
177	274	1268
178	275	1262
179	275	1256
180	276	1252
181	277	1246
182	277	1240
183	278	1234
184	278	1228
185	279	1222
186	279	1216
187	280	1210
188	280	1205
189	281	1199
190	282	1194
191	282	1189
192	283	1183
193	283	1179
194	284	1174
195	285	1169
196	285	1163
197	286	1158
198	286	1153
199	287	1148
200	287	1143
201	288	1138
202	288	1133
203	289	1128
204	289	1123
205	290	1119
206	291	1115
207	292	1111
208	292	1107
209	293	1103
210	294	1099
211	294	1095
212	295	1090
213	295	1086
214	296	1082
215	297	1078
216	297	1074
217	298	1071
218	299	1068
219	300	1065
220	301	1061
221	301	1057
222	302	1053
223	302	1048
224	303	1044
225	303	1040
226	304	1036
227	304	1032
228	305	1028
229	306	1025
230	306	1021
231	307	1017
232	307	1013
233	308	1009
234	308	1005
235	309	1001
236	309	997
237	310	993
238	310	989
239	311	986
240	311	982
241	312	978
242	312	974
243	313	972
244	314	969
245	315	965
246	315	962
247	316	958
248	316	955
249	317	952
250	317	948
251	318	945
252	319	941
253	319	938
254	320	935
255	320	931
256	321	928
257	322	926
258	322	922
259	323	919
260	323	916
261	324	912
262	324	909
263	325	906
264	325	902
265	326	899
266	326	896
267	327	893
268	327	890
269	328	888
270	329	885
271	329	882
272	330	879
273	330	876
274	331	873
275	331	870
276	332	867
277	332	864
278	333	861
279	333	858
280	334	855
281	334	852
282	335	849
283	336	847
284	337	845
285	337	842
286	338	840
287	338	837
288	339	834
289	339	831
290	340	828
291	340	825
292	341	823
293	341	820
294	342	817
295	342	815
296	343	812
297	344	810
298	344	808
299	345	806
300	346	803
301	346	800
302	346	798
303	347	795
304	347	792
305	348	790
306	348	787
307	349	785
308	349	782
309	350	780
310	351	778
311	351	776
312	352	773
313	353	771
314	353	768
315	354	766
316	354	764
317	355	761
318	355	759
319	356	756
320	356	754
321	357	751
322	357	749
323	358	747
324	359	745
325	359	743
326	360	741
327	360	739
328	361	736
329	361	734
330	362	732
331	362	730
332	363	728
333	363	725
334	364	723
335	364	721
336	365	719
337	366	717
338	366	715
339	367	713
340	367	710
341	368	708
342	368	706
343	369	704
344	369	702
345	370	700
346	370	697
347	371	695
348	371	693
349	372	691
350	373	689
351	373	688
352	374	686
353	375	684
354	375	682
355	376	680
356	376	678
357	377	676
358	377	674
359	378	672
360	378	670
361	379	668
362	379	666
363	380	664
364	381	663
365	382	661
366	382	660
367	383	658
368	384	656
369	384	654
370	385	653
371	385	651
372	386	649
373	387	648
374	387	646
375	388	645
376	389	644
377	390	642
378	391	641
379	391	639
380	392	637
381	393	636
382	393	634
383	394	632
384	395	630
385	395	629
386	396	628
387	397	627
388	398	625
389	399	624
390	399	622
391	400	621
392	400	619
